x,y,z,vx,vy,vz,temp
-673631,2.72769e+06,-653960,91.6945,-9186.28,3357.66,2000
-1.34047e+06,24589.2,361039,6018.48,6343.56,-8051.1,2000
1.01734e+06,1.98068e+06,428914,-2801.21,-9374.84,348.835,2000
4.83621e+06,-1.75204e+06,-1.26264e+06,-4704.09,1189.96,-4567.64,2000
1.8747e+06,-204249,134463,-6194.65,-4019.99,5670.48,2000
-7.48928e+06,102843,775532,-17454.1,-4505.13,-7138.01,2000
-1.73956e+06,-1.53992e+06,-956071,7719.95,4590.8,6790.47,2000
1.50541e+06,-182461,-937286,-6195.99,374.256,1755.77,2000
985103,1.76259e+06,-19149.6,-2195.56,-5556.82,-721.883,2000
1.02475e+06,-1.20282e+06,-650932,-5334.37,4610.15,6329,2000
-662388,-743840,460637,8134.26,5086.19,-6717.63,2000
2.44589e+06,-921123,-724595,-10491.7,1828.32,4204.07,2000
-381634,1.22585e+06,393438,2157,-5755.11,-4668.86,2000
-3.50796e+06,328848,2.98393e+06,-3864.75,3761.95,908.954,2000
-1.25697e+06,-564561,-2.34495e+06,4196.21,81.1992,9455.97,2000
-615557,-1.07012e+06,1.24117e+06,3870.12,4247.81,-9109.83,2000
97673.9,5.78534e+06,13426.7,2099.54,16882.4,-8700.93,2000
-677519,-1.15354e+06,1.61468e+06,4814.65,8779.89,-8330.47,2000
-3.41466e+06,-1.19504e+06,-98503.3,5904.31,-4320.03,-2721.51,2000
-671366,1.89521e+06,-1.10601e+06,729.931,-8089.94,3558.67,2000
-2.64985e+06,435522,731351,-2134.41,7485.55,3502.36,2000
2.03846e+06,-89134.4,-56229.3,-5485.86,-4272.58,3986.7,2000
788105,827667,2.18784e+06,-1756.84,-7792.77,-10606.5,2000
-336048,-1.07754e+06,-1.87446e+06,650.514,-1579.26,10277.3,2000
-2.06654e+06,-74233.1,-1.66057e+06,8389.86,-3586.79,1740.97,2000
-1.13911e+06,1.23906e+06,705799,5435.12,-8923.86,-5235.12,2000
-251360,-1.21195e+06,-998631,3664.42,9922.56,7572.48,2000
1.00732e+06,981459,-537345,3771.92,7969.73,-8696.63,2000
1.79902e+06,-155209,352822,-9388.37,5226.72,-4441.65,2000
-4.7294e+06,-929644,6.64445e+06,-13103.6,3701.89,4147.7,2000
-155790,1.8224e+06,506797,13753.5,988.023,-1548.19,2000
-418168,-670688,-115551,1248.53,-5469.56,4814.85,2000
-1.16152e+07,-5.59928e+07,6.70316e+07,-13003.5,-95294.1,108485,2000
1.24247e+06,-982784,-1.05915e+06,1954.73,3765.9,7022.73,2000
-1.18248e+06,-251740,907333,10249.5,-2296.09,-9051.43,2000
130439,-210529,-1.65486e+06,-1290.39,530.282,6413.87,2000
3.73117e+06,-4.59859e+06,4.40374e+06,5930.82,1365.84,9813.63,2000
-344273,-672388,1.00197e+06,3435.8,328.393,-6812.92,2000
1.1307e+06,2.83143e+06,-550591,-1680.2,-7295.26,2153.71,2000
-931387,-89940.6,401429,7743.14,-2387.79,-5833.21,2000
-1.05937e+06,-1.53933e+06,1.44653e+06,6773.9,7513.56,-7488.9,2000
-377963,-793713,1.05126e+06,2293.72,1365.03,-5621.09,2000
-1.75396e+06,-4.34504e+06,-2.73066e+06,-5438.27,-3862.95,1584.55,2000
-2.65853e+06,-8.56659e+06,1.41439e+06,-2989.17,-3451.1,5637.6,2000
1.17926e+06,-1.62764e+06,-692591,-1844.82,14062.1,577.153,2000
-1.23251e+06,947754,1.57816e+06,5584.04,-6306.51,-4853,2000
1.59862e+06,1.07291e+06,332882,-6987.11,-6397.34,-1424.73,2000
231416,-958826,-2.05572e+06,1471.11,761.522,10383.6,2000
-308700,-608988,181025,-785.828,4146.23,-3109.83,2000
-375176,-858679,735635,909.271,9541.26,-1776.61,2000
-206741,1.25301e+06,-772944,1635.29,-6293.75,1554.49,2000
2.45557e+06,2.8258e+06,-1.32673e+06,588.557,-3138,-3489.46,2000
1.58391e+07,2.19585e+06,-1.39604e+07,33500.6,4064.15,-26348.6,2000
654303,-144095,3.77122e+06,-4705.63,-8739.2,7382.4,2000
-1.02488e+06,-1.76166e+06,735268,3913.93,7494.32,-5016.53,2000
-12659.4,1.40123e+06,696722,-25.1969,-7628.48,-3042.51,2000
-59935.1,1.07739e+06,-850704,1798.99,-5175.55,6415.87,2000
652256,-3.66977e+06,4.60535e+06,328.453,1128.53,12724,2000
-1.11521e+06,1.43735e+06,312929,2395.25,-9135.98,5463.82,2000
2.00244e+06,-825550,585814,-8691.58,3965.73,677.986,2000
-5.64237e+06,5.65402e+06,-4.67743e+06,-1216.32,2335.94,-7896.83,2000
1.9086e+06,129428,-897578,-11512.9,-1364.15,8343.85,2000
3.03121e+06,1.36952e+06,1.82807e+06,688.808,-1930.88,-6837.31,2000
1.20261e+07,1.66852e+06,-1.16761e+07,13826,-1854.01,-18584.3,2000
1.95836e+06,-368498,468627,-7307.58,4977.93,825.546,2000
-1.41145e+06,210218,246246,14482.4,-2089.08,-4592.11,2000
-58298.2,-1.41231e+06,455937,2005.84,9727.7,1323.46,2000
384485,2.66418e+06,1.13714e+06,-398.876,-9032.17,-3792.78,2000
338749,-502577,-1.83607e+06,2002.99,-682.681,7839.1,2000
341199,987508,6.30814e+06,-4619.7,7547.87,12280.3,2000
1.70497e+06,612623,1.16396e+06,-8462.31,-3614,-10117.3,2000
-967901,1.25051e+06,1.23261e+06,3728.64,-10572,-7669.9,2000
246634,-1.95111e+06,1.41364e+06,-1692.56,9441.82,-5835.12,2000
-386566,2.40005e+06,-676337,771.652,-8186.49,5307.99,2000
466502,835532,-199773,180.09,-5893.11,4993.46,2000
-1.70938e+06,1.10089e+06,-1.27449e+06,12430.3,-684.187,1359.57,2000
1.2825e+06,307312,-1.05765e+06,-3591.44,-8730.48,9561.05,2000
951799,707077,7.37606e+06,3401.42,-1634.11,13692.5,2000
-31152.2,-494336,1.7693e+06,1745.3,3887.11,-13150.8,2000
